Gephyrocapsa huxleyi HET,lat,lon
2050.0,16,59
504.0,16,59
117.0,16,59
3782.5,16,60
750.0,16,60
790.0,16,60
1510.0,16,60
1224.0,16,60
1079.0,16,60
2269.5,16,60
225.0,16,60
208.0,16,60
3300.0,16,61
4300.0,16,61
300.0,16,61
14200.0,16,62
1000.0,16,62
149.0,16,165
977.0,17,-165
198.0,17,-156
4774.0,17,-36
2486.0,17,-36
2960.0,17,-36
394.0,17,-36
2218.8,17,-29
671.2,17,-29
6030.6,17,-29
291.7,17,-29
563.8,17,-29
19669.0,17,-22
13617.0,17,-22
3212.0,17,40
27234.0,17,56
2520.6666666666665,17,56
9834.5,17,56
1257.6666666666667,17,56
7565.0,17,56
2455.375,17,56
750.0,17,56
750.0,17,56
1319.875,17,56
3024.5,17,56
750.0,17,56
3026.0,17,56
1510.0,17,56
1510.0,17,56
15886.5,17,57
564.0,17,57
5547.666666666667,17,57
750.0,17,57
3026.0,17,57
750.0,17,57
2265.1666666666665,17,57
750.0,17,57
3782.5,17,57
11725.75,17,57
27.0,17,57
1509.75,17,57
860.0,17,58
7900.0,17,58
4250.0,17,58
1700.0,17,58
530.0,17,58
9078.0,17,59
750.0,17,59
4539.0,17,59
8450.0,17,59
3026.0,17,59
260.0,17,59
13900.0,17,60
1300.0,17,60
156.0,17,149
84.0,17,164
108.0,18,-156
1430.0,18,-34
4158.0,18,39
813.0,18,40
4536.625,18,57
4538.25,18,57
2457.875,18,57
2266.25,18,57
1510.0,18,57
750.0,18,57
700.0,18,58
1000.0,18,58
1525.0,18,119
447.0,18,128
33.0,18,163
1117.0,18,179
1925.0,19,-162
144.0,19,-156
1546.0,19,-106
2678.3,19,-29
3272.8,19,-29
3323.2,19,-29
165.1,19,-29
245.9,19,-29
67328.5,19,-21
10590.0,19,-21
26477.5,19,-21
10590.0,19,-21
1212.0,19,38
2436.0,19,39
5550.0,19,58
660.0,19,58
1320.0,19,65
190.0,19,65
514.0,19,161
10.0,19,161
51.0,20,-156
46.0,20,-156
77.66666666666667,20,-156
86.0,20,-156
114.66666666666669,20,-156
71.0,20,-156
78.0,20,-156
88.0,20,-156
94.66666666666669,20,-156
15.0,20,-156
9078.0,20,-21
12104.0,20,-21
6052.0,20,-21
2611.0,20,38
790.0,20,60
660.0,20,60
22.0,21,-155
2467.0,21,-36
2886.8,21,-28
2384.4,21,-28
446.6,21,-28
100.3,21,-28
103.7,21,-28
3030.0,21,-22
3222.0,21,38
29.0,21,61
150.0,21,61
580.0,21,61
87.0,21,61
52.0,21,63
47.0,21,63
3445.0,21,63
51.0,21,63
44.0,21,159
100.0,22,-160
40.0,22,-160
1186.5,22,-159
2831.5,22,-159
2181.0,22,-159
3385.25,22,-159
874.0,22,-159
300.5,22,-159
372.0,22,-159
58.5,22,-159
390.0,22,-159
332.5,22,-159
158.0,22,-159
527.5,22,-159
3186.5,22,-159
2076.0,22,-159
1865.5,22,-159
812.0,22,-159
137.5,22,-159
390.3333333333333,22,-159
239.0,22,-159
216.0,22,-159
318.0,22,-159
161.0,22,-159
1287.0,22,-159
3884.5,22,-159
959.0,22,-159
3329.5,22,-159
870.5,22,-159
540.0,22,-159
1104.3333333333333,22,-159
140.75,22,-159
478.5,22,-159
349.0,22,-159
129.0,22,-159
13032.0,22,-159
2029.0,22,-159
3085.0,22,-159
3771.0,22,-159
288.0,22,-159
2024.3333333333333,22,-159
113.75,22,-159
548.5,22,-159
258.0,22,-159
201.0,22,-159
272.0,22,-159
12421.5,22,-159
1642.0,22,-159
2303.5,22,-159
1571.5,22,-159
521.0,22,-159
2058.6666666666665,22,-159
406.0,22,-159
2667.5,22,-159
1956.0,22,-159
203.0,22,-159
595.0,22,-159
4884.5,22,-159
4141.0,22,-159
3452.0,22,-159
3519.5,22,-159
870.5,22,-159
3327.0,22,-159
1391.5,22,-159
3975.5,22,-159
2350.0,22,-159
999.5,22,-159
180.0,22,-159
820.0,22,-159
1149.0,22,-159
458.0,22,-159
2275.75,22,-159
1575.0,22,-159
766.0,22,-159
1374.3333333333333,22,-159
2441.0,22,-159
427.5,22,-159
370.5,22,-159
65.0,22,-159
141.5,22,-159
236.0,22,-159
419.5,22,-159
2425.0,22,-159
195.5,22,-159
968.3333333333334,22,-159
727.5,22,-159
360.0,22,-159
122.0,22,-159
41.0,22,-159
80.0,22,-158
500.0,22,-158
300.0,22,-158
180.0,22,-157
100.0,22,-157
75.0,22,-155
3659.0,22,-34
3095.0,22,-34
8579.0,22,-34
332.0,22,-34
1465.9,22,-28
2001.7,22,-28
2240.8,22,-28
369.8,22,-28
130.2,22,-28
948.0,22,37
900.0,22,66
408.0,22,66
740.0,22,66
635.5,22,66
1305.0,22,66
1776.0,22,66
3155.0,22,66
1056.6666666666667,22,66
249.0,22,66
67.0,22,66
70.0,22,158
380.0,23,-159
7.0,23,-155
5740.0,23,-37
4540.0,23,-22
4540.0,23,-22
1120.0,23,64
992.0,23,64
1368.0,23,64
1368.0,23,64
